"mass","length","protein_status"
34333,311,"not_secreted"
34228,327,"not_secreted"
34085,301,"not_secreted"
34030,306,"not_secreted"
33944,316,"not_secreted"
33513,311,"not_secreted"
33457,299,"not_secreted"
33435,314,"not_secreted"
33241,298,"not_secreted"
33116,313,"not_secreted"
32832,302,"not_secreted"
32799,298,"not_secreted"
32706,288,"not_secreted"
32520,298,"not_secreted"
32341,302,"not_secreted"
32131,300,"not_secreted"
31998,298,"not_secreted"
31915,289,"not_secreted"
31865,308,"not_secreted"
31849,289,"not_secreted"
31574,289,"not_secreted"
31341,294,"not_secreted"
30777,267,"not_secreted"
30598,282,"not_secreted"
30570,278,"not_secreted"
30453,283,"not_secreted"
30402,278,"not_secreted"
30374,268,"not_secreted"
30351,275,"not_secreted"
30009,279,"not_secreted"
29968,270,"not_secreted"
29958,260,"not_secreted"
29807,271,"not_secreted"
29791,263,"not_secreted"
29770,261,"not_secreted"
29768,276,"not_secreted"
29720,291,"not_secreted"
29598,269,"not_secreted"
29497,260,"not_secreted"
29449,273,"not_secreted"
29415,260,"not_secreted"
29330,274,"not_secreted"
29302,263,"not_secreted"
29275,256,"not_secreted"
29181,271,"not_secreted"
29173,264,"not_secreted"
29160,261,"not_secreted"
28719,256,"not_secreted"
28560,246,"not_secreted"
28483,245,"not_secreted"
28275,260,"not_secreted"
27918,255,"not_secreted"
27913,251,"not_secreted"
27907,261,"not_secreted"
27742,259,"not_secreted"
27700,246,"not_secreted"
27663,244,"not_secreted"
27636,264,"not_secreted"
27621,250,"not_secreted"
27556,257,"not_secreted"
27456,255,"not_secreted"
27422,239,"not_secreted"
27158,243,"not_secreted"
27116,240,"not_secreted"
27039,254,"not_secreted"
26967,236,"not_secreted"
26894,245,"not_secreted"
26801,243,"not_secreted"
26759,238,"not_secreted"
26666,246,"not_secreted"
26424,234,"not_secreted"
26153,234,"not_secreted"
25897,246,"not_secreted"
25886,232,"not_secreted"
25511,223,"not_secreted"
25479,236,"not_secreted"
25454,233,"not_secreted"
25348,239,"not_secreted"
25171,222,"not_secreted"
25153,236,"not_secreted"
25128,229,"not_secreted"
25068,231,"not_secreted"
25041,226,"not_secreted"
24929,220,"not_secreted"
24680,225,"not_secreted"
24670,224,"not_secreted"
24458,228,"not_secreted"
24337,229,"not_secreted"
24166,216,"not_secreted"
24039,213,"not_secreted"
23798,215,"not_secreted"
23564,226,"not_secreted"
23554,208,"not_secreted"
23383,210,"not_secreted"
23353,206,"not_secreted"
23255,222,"not_secreted"
23185,213,"not_secreted"
23144,205,"not_secreted"
23135,205,"not_secreted"
22988,212,"not_secreted"
22855,208,"not_secreted"
22733,206,"secreted"
22705,211,"not_secreted"
22631,212,"not_secreted"
22465,204,"not_secreted"
22407,208,"not_secreted"
22338,202,"not_secreted"
22125,207,"not_secreted"
22088,205,"not_secreted"
21885,195,"not_secreted"
21881,205,"not_secreted"
21762,195,"not_secreted"
21577,184,"not_secreted"
21514,189,"not_secreted"
21434,197,"not_secreted"
21346,187,"not_secreted"
21344,190,"not_secreted"
21334,193,"secreted"
21334,193,"secreted"
21334,193,"secreted"
21295,194,"not_secreted"
21138,194,"not_secreted"
21034,191,"secreted"
20944,183,"not_secreted"
20846,188,"not_secreted"
20728,187,"secreted"
20728,187,"secreted"
20699,195,"not_secreted"
20694,188,"not_secreted"
20661,177,"not_secreted"
20634,186,"not_secreted"
20500,180,"not_secreted"
20197,182,"not_secreted"
20155,184,"not_secreted"
19473,168,"not_secreted"
19354,181,"not_secreted"
19334,174,"not_secreted"
19141,170,"not_secreted"
19136,176,"not_secreted"
19094,174,"not_secreted"
18961,177,"not_secreted"
18704,169,"not_secreted"
18347,166,"not_secreted"
18309,167,"not_secreted"
18054,163,"not_secreted"
17978,156,"not_secreted"
17827,158,"secreted"
17521,159,"not_secreted"
17410,154,"not_secreted"
17310,161,"not_secreted"
17031,165,"not_secreted"
16864,151,"not_secreted"
16126,148,"not_secreted"
16028,146,"not_secreted"
15973,143,"not_secreted"
15900,136,"not_secreted"
15720,139,"not_secreted"
15650,149,"not_secreted"
15442,145,"not_secreted"
15427,135,"not_secreted"
15383,135,"not_secreted"
15286,135,"not_secreted"
15021,136,"not_secreted"
15018,132,"not_secreted"
14961,129,"not_secreted"
14856,136,"not_secreted"
14845,137,"not_secreted"
14573,130,"not_secreted"
14300,136,"not_secreted"
13951,126,"not_secreted"
13650,131,"not_secreted"
13531,131,"not_secreted"
13331,121,"not_secreted"
13272,126,"not_secreted"
13161,127,"not_secreted"
12477,115,"not_secreted"
12173,111,"not_secreted"
12110,113,"not_secreted"
11923,108,"not_secreted"
11916,103,"not_secreted"
11582,118,"not_secreted"
11527,99,"not_secreted"
11356,103,"not_secreted"
11291,101,"not_secreted"
10926,100,"not_secreted"
10854,95,"secreted"
10475,102,"not_secreted"
10316,92,"not_secreted"
9075,82,"not_secreted"
9058,76,"not_secreted"
8214,71,"not_secreted"
7743,67,"not_secreted"
6762,60,"secreted"
6496,56,"not_secreted"
2760,25,"not_secreted"
